Id,User,Created,Tweet,Description,Location
1338453515845337092,5kfssm_SZ_LOVER,2020-12-14 11:59:20,"RT @OKAsia_djPanic: Thank you, Sexy Lover!🌹

#SZ x #OKAsia 🎧",SexyZone ｜99line｜社会人｜Kanto｜主現場→横浜｜祭好きな7人組も応援中《2019/5/1武道館で祭興（さいこう）をありがとう。@1013_urpn 》,菊池氏の客
1338453515841236992,JooVict87267804,2020-12-14 11:59:20,@JoevenoYT Hackearam o YouTube,"Focus 
No Tears Left To Cry
Imagine o Amor
Suave Veneno 
O Casarão",
1338453515832872961,Pressin2Win,2020-12-14 11:59:20,"The Creator, the One and Only God is in control of this mess, and He says Do Not Fear! https://t.co/d7AfslHU56",,Virginia
1338453515832848387,NationalTheatre,2020-12-14 11:59:20,"Dick and friends are on a quest to save the true spirit of London.

We love these joyful photographs of… https://t.co/stIQdU406y","- now streaming on national theatre at home
- dick whittington irl from 11 dec and free on youtube 23-27 dec
- on the big screen with national theatre live",At Home
1338453515828682756,shortsigh44,2020-12-14 11:59:20,Hey @gmail what gives?,"Master student of philosophy and theology, current focus on the role of love in justice and politics.",Paris 🇫🇷   Texas 🇺🇸
1338453515824472064,khaltronics,2020-12-14 11:59:20,"RT @iMajorX: If you spend 2k/daily to fuel your generator and let’s say you get 14days uninterrupted Nepa Light in a month, you spend 28k/m…","Your place for Tech, Gadgets and Fashion Accessories

Find our catalog below ⬇️⬇️⬇️🏡❤️",Nigeria
1338453515820122113,stareyeshwa,2020-12-14 11:59:20,"RT @cutieseokjoong: ""I can't talk right now I'm doing hot girl shit"" https://t.co/bN5VC1t0Oa",the stars in seonghwa's eyes ✨| from 111519 🤍,
1338453515816087554,RefugeeofVT,2020-12-14 11:59:20,"@AccidentLiberty Brilliant! That’s like having city police, county police, the sheriff and state troopers all compe… https://t.co/Dzlrm7FoN2","Helping people #GetWoker! If you get woke enough, you can Lead the Sheep within your pen in the Blue Church! And you’ll never be distracted by Facts!","St Paul, MN"
1338453515815927808,ohitsfar,2020-12-14 11:59:20,"i am so emotional, i cant focus 🤦‍♀️",MEDyo maARTe 🥳,Babylonia
1338453515811713024,shVdbQgvraRQfFg,2020-12-14 11:59:20,RT @ZhaLiyou: Who is learning from whom? https://t.co/VzWEZu4O8a,"Queridos amigos, mi cuenta ""Li Ruoshui"" ha sido congelada nuevamente por Twitter. Ahora esta es mi nueva cuenta. Gracias por su continua atención y apoyo.",
1338453515799244801,WorldEater010,2020-12-14 11:59:20,@Valkyrae Aight rae,"Few know me as Galan but many call me...
Galactus The devourer of Worlds!
BEWARE... I HUNGER (most of the time)!",Looking for Zero
1338453515790848000,iCuddIeSan,2020-12-14 11:59:20,@iSnuggleSeokjin NO ME,bunni stan account !! any pronouns | no pet names unless we’re close,
